iter	Logloss
0	0.692874454
1	0.692603647
2	0.6923494646
3	0.6920509036
4	0.6918532386
5	0.691654857
6	0.6913979586
7	0.6911426509
8	0.6908441884
9	0.690607709
10	0.6903687597
11	0.6901273858
12	0.6898724075
13	0.6896666755
14	0.6893973661
15	0.689150406
16	0.6888755105
17	0.6885691889
18	0.688320963
19	0.688061325
20	0.6878265642
21	0.6875830741
22	0.6873485017
23	0.6871270383
24	0.6868861472
25	0.6866434962
26	0.6864163532
27	0.6861441526
28	0.6858907458
29	0.6856733383
30	0.6854385239
31	0.6851813335
32	0.684938877
33	0.6846902655
