coef,exp(coef),se(coef),coef lower 95%,coef upper 95%,exp(coef) lower 95%,exp(coef) upper 95%,cmp to,z,p,-log2(p)
-0.024072815598336995,0.9762146235179304,0.36215127591705626,-0.733876273350995,0.6857306421543211,0.48004459490145823,1.9852217925000946,0.0,-0.06647171278736681,0.9470022778128402,0.07856019909302994
-0.11620021550273008,0.8902969541996855,0.5011146904921221,-1.0983669609912257,0.8659665299857655,0.3334151192573932,2.377302710274921,0.0,-0.23188347439707882,0.8166285202573366,0.2922481411923909
0.19201128568652226,1.2116841915756869,0.442274617093403,-0.6748310350927905,1.058853606465835,0.5092424574433105,2.883063968164644,0.0,0.4341449368005938,0.6641831954194085,0.5903468733893783
0.1443155524536436,1.1552485925429214,0.5377257079126339,-0.9096074686164236,1.1982385735237109,0.4026822584389217,3.314273928397646,0.0,0.2683813519235555,0.7884057921658091,0.34298971944686535
-0.05540744774389694,0.9460995832693827,0.583884058655795,-1.1997991738563276,1.0889842783685335,0.3012547056584365,2.9712545717953756,0.0,-0.0948946060823355,0.9243985409092313,0.11341311226126181
0.0025909481931336194,1.0025943076001267,0.029019211087215693,-0.05428566039757457,0.0594675567838418,0.9471615013220119,1.0612713293658622,0.0,0.0892838949117763,0.928856292947403,0.10647268610437297
0.07589867092024291,1.0788532494115337,0.3637176505833074,-0.6369748247645634,0.7887721666050492,0.5288899912681309,2.20069268275442,0.0,0.2086746980756128,0.8347021933086856,0.2606665330758192
0.10587663111373134,1.111684720740448,1.0500139262674808,-1.9521128476360268,2.1638661098634895,0.14197378549178633,8.704726115788931,0.0,0.10083354940833451,0.9196825939800767,0.12079205882834107
-0.10573135000573461,0.8996663109623849,1.051828780505675,-2.167277877699543,1.955815177688074,0.11448884575735183,7.069679720556459,0.0,-0.10052144604267572,0.9199303575878673,0.12040344737599293
-0.10598986098039508,0.8994337674062945,1.0542262837347698,-2.1722354086560483,1.960255686695258,0.11392266834095295,7.101142500713947,0.0,-0.10053805583836194,0.9199171716868392,0.1204241265178464
-0.0005885216522347529,0.9994116514926646,0.002713524225300159,-0.005906931405000016,0.00472988810053051,0.9941104802143623,1.0047410916781774,0.0,-0.21688461328170125,0.828298269033742,0.27177772116120147
-0.0017943866070457971,0.9982072223420991,0.03938625118757928,-0.07899002042074912,0.07540124720665753,0.9240491460207574,1.0783167356701888,0.0,-0.04555870520654347,0.9636619834448157,0.05340090312448226
0.0025786240687626066,1.0025819515793248,0.3940456199974434,-0.7697365993919826,0.7748938475295079,0.4631350422982472,2.1703617256957712,0.0,0.006543973433277438,0.9947787018970972,0.00755247494448814
0.02950450093518654,1.0299440711729693,0.35611051469707183,-0.6684592823870958,0.7274682842574689,0.5124975838667153,2.069833738026417,0.0,0.08285209146459709,0.9339691484737299,0.09855320028334333
0.0038273628514008764,1.003834696557866,0.0877428044438713,-0.16814537376112787,0.1758000994639296,0.8452309513504493,1.192199713466973,0.0,0.04362024755943633,0.9652071118391197,0.05108954922881844
0.0009526271223728602,1.000953081015709,0.06439620518659696,-0.1252616157844086,0.12716687002915433,0.8822660576628419,1.135606500661413,0.0,0.014793218321056196,0.9881971499865354,0.017129199905643117
